dmX,item,mangName,year,addr,stationName,dmY
35.438115,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1986,울산 울주군 온산읍 산암로 94 풍산금속 야외 주차장,화산리,129.336917
35.49325,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1986,울산 울주군 청량면 신덕하3길 5 청량면사무소 옥상,상남리,129.305696
35.62088,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2003,울산광역시 북구 호수중앙로 14 농소운동장 주차장 (창평동),농소동,129.35796
35.558304,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2013,울산광역시 울주군 삼남읍 서향교1길 67-12 울주군보건소 옥상,삼남읍,129.113942
35.573312,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2017,울산 중구 종가로 560 약사고등학교,약사동,129.335655
35.46153,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2020,울산광역시 울주군 웅촌면 새초천길 12 웅촌운동장 주차장,웅촌면,129.20881
35.56964,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2020,울산광역시 울주군 범서읍 당앞로 14-50 천상정수사업소,범서읍,129.22602
35.55809,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2020,울산광역시 중구 태화동 310 GS LPG충전소(태화) 앞 (태화동),북부순환도로,129.28116
35.58927536271675,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2022,울산광역시 북구 송내14길 41 송정동 행정복지센터 (화봉동),송정동,129.36748762340486
35.508908,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2018,울산광역시 동구 진성4길 45 주민센터 3층 옥상 (전하동),전하동,129.426773
35.536392,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,2023,울산광역시 남구 삼산동 261-36 태화강역앞,산업로,129.35595
35.515708,"SO2, CO, O3, NO2, PM10, PM2.5",항만,2020,울산 남구 매암로 96 5부두,울산항,129.384518
35.503138,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1999,울산 동구 대송5길 10 대송동주민센터 옥상,대송동,129.418334
35.556277,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1983,울산 중구 새즈믄해거리 28 농협 성남동 지점,성남동,129.320451
35.497129,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2000,울산 남구 처용로 260-37 대경기계기술,부곡동(울산),129.338806
35.515703,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1983,울산 남구 부두로 9 현대자동차 엔진공장,여천동(울산),129.35892
35.51256,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1986,울산광역시 남구 두왕로174번길 64 (선암동) 대나리사랑채 옥상,선암동,129.317528
35.544442,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2000,울산 남구 삼산중로 131번길 36 삼산동 주민센터 옥상,삼산동,129.331878
35.533314,"SO2, CO, O3, NO2, PM10, PM2.5",도로변대기,1999,울산 남구 신정2동(문수로) 1674(436 학성고등학교),신정로,129.301215
35.534671,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1993,울산 남구 봉월로 20번길 9 신정2동주민센터 옥상,신정동,129.307806
35.43445,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1993,울산광역시 울주군 온산읍 덕신로 229 고려아연(주) 사택 주차장,덕신리,129.30651
35.5509,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,1999,울산 남구 대학로 147번길 38 무거동주민센터,무거동,129.260827
35.560301,"SO2, CO, O3, NO2, PM10, PM2.5",도시대기,2005,울산 북구 염포로 290 효문배수펌프장 옥상,효문동,129.370866
